rep,tset,method,pts
5,25/26,blend100,1250
6,24/25,last-szn,1574
6,24/25,price,1425
6,24/25,structural,1702
6,24/25,ridge,1738
6,24/25,gbm,1659
6,24/25,rf,1671
6,24/25,ml_ens,1853
6,24/25,blend0,1586
6,24/25,blend10,1586
6,24/25,blend20,1655
6,24/25,blend30,1648
6,24/25,blend40,1643
6,24/25,blend50,1643
6,24/25,blend60,1821
6,24/25,blend70,1658
6,24/25,blend80,1662
6,24/25,blend90,1662
6,24/25,blend100,1659
6,25/26,last-szn,1405
6,25/26,price,922
6,25/26,structural,1397
6,25/26,ridge,1379
6,25/26,gbm,1220
6,25/26,rf,1271
6,25/26,ml_ens,1356
6,25/26,blend0,1476
6,25/26,blend10,1572
6,25/26,blend20,1572
6,25/26,blend30,1539
6,25/26,blend40,1539
6,25/26,blend50,1539
6,25/26,blend60,1474
6,25/26,blend70,1590
6,25/26,blend80,1590
6,25/26,blend90,1549
6,25/26,blend100,1576
7,24/25,last-szn,1574
7,24/25,price,1425
7,24/25,structural,1702
7,24/25,ridge,1714
7,24/25,gbm,1531
7,24/25,rf,1542
7,24/25,ml_ens,1572
7,24/25,blend0,1586
7,24/25,blend10,1586
7,24/25,blend20,1655
7,24/25,blend30,1648
7,24/25,blend40,1710
7,24/25,blend50,1561
7,24/25,blend60,1561
7,24/25,blend70,1561
7,24/25,blend80,1662
7,24/25,blend90,1662
7,24/25,blend100,1572
7,25/26,last-szn,1405
7,25/26,price,922
7,25/26,structural,1397
7,25/26,ridge,1398
7,25/26,gbm,1261
7,25/26,rf,1091
7,25/26,ml_ens,1374
7,25/26,blend0,1476
7,25/26,blend10,1558
7,25/26,blend20,1558
7,25/26,blend30,1558
7,25/26,blend40,1558
7,25/26,blend50,1635
7,25/26,blend60,1635
7,25/26,blend70,1635
7,25/26,blend80,1635
7,25/26,blend90,1606
7,25/26,blend100,1554
8,24/25,last-szn,1574
8,24/25,price,1425
8,24/25,structural,1702
8,24/25,ridge,1853
8,24/25,gbm,1754
8,24/25,rf,1671
