rep,tset,m,topn,cap,pts
3,25/26,ens4,240,0,1700
3,25/26,ens5,240,0,1539
3,25/26,ens6,240,0,1700
3,25/26,struct,240,0,1397
3,25/26,ens2_cap,180,1,1814
3,25/26,ens3_cap,180,1,1814
3,25/26,ens5_cap,180,1,1653
4,24/25,ens2,150,0,1888
4,24/25,ens3,150,0,1694
4,24/25,ens4,150,0,1694
4,24/25,ens5,150,0,1574
4,24/25,ens6,150,0,1904
4,24/25,struct,150,0,1702
4,24/25,ens2,180,0,1888
4,24/25,ens3,180,0,1694
4,24/25,ens4,180,0,1694
4,24/25,ens5,180,0,1574
4,24/25,ens6,180,0,1904
4,24/25,struct,180,0,1702
4,24/25,ens2,240,0,1888
4,24/25,ens3,240,0,1694
4,24/25,ens4,240,0,1694
4,24/25,ens5,240,0,1574
4,24/25,ens6,240,0,1904
4,24/25,struct,240,0,1702
4,24/25,ens2_cap,180,1,2232
4,24/25,ens3_cap,180,1,1908
4,24/25,ens5_cap,180,1,1755
4,25/26,ens2,150,0,1669
4,25/26,ens3,150,0,1489
4,25/26,ens4,150,0,1669
4,25/26,ens5,150,0,1539
4,25/26,ens6,150,0,1347
4,25/26,struct,150,0,1397
4,25/26,ens2,180,0,1669
4,25/26,ens3,180,0,1489
4,25/26,ens4,180,0,1669
4,25/26,ens5,180,0,1539
4,25/26,ens6,180,0,1347
4,25/26,struct,180,0,1397
4,25/26,ens2,240,0,1669
4,25/26,ens3,240,0,1489
4,25/26,ens4,240,0,1669
4,25/26,ens5,240,0,1539
4,25/26,ens6,240,0,1347
4,25/26,struct,240,0,1397
4,25/26,ens2_cap,180,1,1783
4,25/26,ens3_cap,180,1,1603
4,25/26,ens5_cap,180,1,1653
5,24/25,ens2,150,0,1864
5,24/25,ens3,150,0,1654
5,24/25,ens4,150,0,1814
5,24/25,ens5,150,0,1670
5,24/25,ens6,150,0,1654
5,24/25,struct,150,0,1702
5,24/25,ens2,180,0,1864
5,24/25,ens3,180,0,1654
5,24/25,ens4,180,0,1814
5,24/25,ens5,180,0,1670
5,24/25,ens6,180,0,1654
5,24/25,struct,180,0,1702
5,24/25,ens2,240,0,1864
5,24/25,ens3,240,0,1654
5,24/25,ens4,240,0,1814
5,24/25,ens5,240,0,1643
5,24/25,ens6,240,0,1654
5,24/25,struct,240,0,1702
5,24/25,ens2_cap,180,1,2208
5,24/25,ens3_cap,180,1,1868
5,24/25,ens5_cap,180,1,1851
5,25/26,ens2,150,0,1525
5,25/26,ens3,150,0,1525
5,25/26,ens4,150,0,1539
5,25/26,ens5,150,0,1539
5,25/26,ens6,150,0,1525
5,25/26,struct,150,0,1397
5,25/26,ens2,180,0,1525
5,25/26,ens3,180,0,1525
5,25/26,ens4,180,0,1539
5,25/26,ens5,180,0,1539
5,25/26,ens6,180,0,1525
5,25/26,struct,180,0,1397
5,25/26,ens2,240,0,1525
5,25/26,ens3,240,0,1525
5,25/26,ens4,240,0,1539
5,25/26,ens5,240,0,1539
5,25/26,ens6,240,0,1525
5,25/26,struct,240,0,1397
5,25/26,ens2_cap,180,1,1639
5,25/26,ens3_cap,180,1,1639
5,25/26,ens5_cap,180,1,1653
6,24/25,ens2,150,0,1725
6,24/25,ens3,150,0,1725
6,24/25,ens4,150,0,1725
6,24/25,ens5,150,0,1584
6,24/25,ens6,150,0,1725
6,24/25,struct,150,0,1702
6,24/25,ens2,180,0,1725
6,24/25,ens3,180,0,1725
6,24/25,ens4,180,0,1725
6,24/25,ens5,180,0,1584
6,24/25,ens6,180,0,1725
6,24/25,struct,180,0,1702
6,24/25,ens2,240,0,1725
6,24/25,ens3,240,0,1725
6,24/25,ens4,240,0,1725
6,24/25,ens5,240,0,1584
6,24/25,ens6,240,0,1725
6,24/25,struct,240,0,1702
6,24/25,ens2_cap,180,1,1906
6,24/25,ens3_cap,180,1,1906
6,24/25,ens5_cap,180,1,1765
6,25/26,ens2,150,0,1644
6,25/26,ens3,150,0,1644
6,25/26,ens4,150,0,1644
6,25/26,ens5,150,0,1539
6,25/26,ens6,150,0,1437
6,25/26,struct,150,0,1397
6,25/26,ens2,180,0,1644
6,25/26,ens3,180,0,1644
6,25/26,ens4,180,0,1644
6,25/26,ens5,180,0,1539
6,25/26,ens6,180,0,1437
6,25/26,struct,180,0,1397
6,25/26,ens2,240,0,1644
6,25/26,ens3,240,0,1644
6,25/26,ens4,240,0,1644
6,25/26,ens5,240,0,1539
6,25/26,ens6,240,0,1437
6,25/26,struct,240,0,1397
6,25/26,ens2_cap,180,1,1758
6,25/26,ens3_cap,180,1,1758
6,25/26,ens5_cap,180,1,1653
7,24/25,ens2,150,0,1589
7,24/25,ens3,150,0,1635
7,24/25,ens4,150,0,1589
7,24/25,ens5,150,0,1574
7,24/25,ens6,150,0,1900
7,24/25,struct,150,0,1702
7,24/25,ens2,180,0,1589
7,24/25,ens3,180,0,1635
7,24/25,ens4,180,0,1589
7,24/25,ens5,180,0,1574
7,24/25,ens6,180,0,1900
7,24/25,struct,180,0,1702
7,24/25,ens2,240,0,1589
7,24/25,ens3,240,0,1635
7,24/25,ens4,240,0,1589
7,24/25,ens5,240,0,1574
7,24/25,ens6,240,0,1900
7,24/25,struct,240,0,1702
7,24/25,ens2_cap,180,1,1859
7,24/25,ens3_cap,180,1,1816
7,24/25,ens5_cap,180,1,1755
7,25/26,ens2,150,0,1522
7,25/26,ens3,150,0,1554
7,25/26,ens4,150,0,1554
7,25/26,ens5,150,0,1474
7,25/26,ens6,150,0,1554
7,25/26,struct,150,0,1397
7,25/26,ens2,180,0,1522
7,25/26,ens3,180,0,1554
7,25/26,ens4,180,0,1554
7,25/26,ens5,180,0,1474
7,25/26,ens6,180,0,1554
7,25/26,struct,180,0,1397
7,25/26,ens2,240,0,1522
7,25/26,ens3,240,0,1554
7,25/26,ens4,240,0,1554
7,25/26,ens5,240,0,1474
7,25/26,ens6,240,0,1554
7,25/26,struct,240,0,1397
7,25/26,ens2_cap,180,1,1636
7,25/26,ens3_cap,180,1,1668
7,25/26,ens5_cap,180,1,1588
8,24/25,ens2,150,0,1868
8,24/25,ens3,150,0,1701
8,24/25,ens4,150,0,1701
8,24/25,ens5,150,0,1511
8,24/25,ens6,150,0,1716
8,24/25,struct,150,0,1702
8,24/25,ens2,180,0,1868
8,24/25,ens3,180,0,1701
8,24/25,ens4,180,0,1701
8,24/25,ens5,180,0,1511
8,24/25,ens6,180,0,1716
8,24/25,struct,180,0,1702
8,24/25,ens2,240,0,1868
8,24/25,ens3,240,0,1701
8,24/25,ens4,240,0,1701
8,24/25,ens5,240,0,1511
8,24/25,ens6,240,0,1716
8,24/25,struct,240,0,1702
8,24/25,ens2_cap,180,1,2049
8,24/25,ens3_cap,180,1,1882
8,24/25,ens5_cap,180,1,1692
8,25/26,ens2,150,0,1554
8,25/26,ens3,150,0,1554
8,25/26,ens4,150,0,1554
8,25/26,ens5,150,0,1539
8,25/26,ens6,150,0,1554
8,25/26,struct,150,0,1397
8,25/26,ens2,180,0,1554
8,25/26,ens3,180,0,1554
8,25/26,ens4,180,0,1554
8,25/26,ens5,180,0,1539
8,25/26,ens6,180,0,1554
8,25/26,struct,180,0,1397
8,25/26,ens2,240,0,1554
8,25/26,ens3,240,0,1554
8,25/26,ens4,240,0,1554
8,25/26,ens5,240,0,1539
8,25/26,ens6,240,0,1554
8,25/26,struct,240,0,1397
8,25/26,ens2_cap,180,1,1668
8,25/26,ens3_cap,180,1,1668
8,25/26,ens5_cap,180,1,1653
9,24/25,ens2,150,0,1628
9,24/25,ens3,150,0,1662
9,24/25,ens4,150,0,1589
9,24/25,ens5,150,0,1624
9,24/25,ens6,150,0,1662
9,24/25,struct,150,0,1702
9,24/25,ens2,180,0,1628
9,24/25,ens3,180,0,1662
9,24/25,ens4,180,0,1589
9,24/25,ens5,180,0,1624
9,24/25,ens6,180,0,1662
9,24/25,struct,180,0,1702
9,24/25,ens2,240,0,1628
9,24/25,ens3,240,0,1662
9,24/25,ens4,240,0,1589
9,24/25,ens5,240,0,1624
9,24/25,ens6,240,0,1662
9,24/25,struct,240,0,1702
9,24/25,ens2_cap,180,1,1809
9,24/25,ens3_cap,180,1,1843
9,24/25,ens5_cap,180,1,1805
9,25/26,ens2,150,0,1572
9,25/26,ens3,150,0,1572
9,25/26,ens4,150,0,1572
9,25/26,ens5,150,0,1539
9,25/26,ens6,150,0,1572
9,25/26,struct,150,0,1397
9,25/26,ens2,180,0,1572
9,25/26,ens3,180,0,1572
9,25/26,ens4,180,0,1572
9,25/26,ens5,180,0,1539
9,25/26,ens6,180,0,1572
9,25/26,struct,180,0,1397
9,25/26,ens2,240,0,1572
9,25/26,ens3,240,0,1572
9,25/26,ens4,240,0,1572
9,25/26,ens5,240,0,1539
9,25/26,ens6,240,0,1572
9,25/26,struct,240,0,1397
9,25/26,ens2_cap,180,1,1686
9,25/26,ens3_cap,180,1,1686
9,25/26,ens5_cap,180,1,1653
